ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00745,Score Line,None,Red,Baphomet,Screaming,Angry Red,Christmas Mug,Silver Chain Necklace,Green Beanie,None,1015.6,"{""721"":{""ergoat-00745"":{""index"":00745,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Baphomet"",""mouth"":""Screaming"",""eyes"":""Angry Red"",""wield"":""Christmas Mug"",""accessory"":""Silver Chain Necklace"",""head"":""Green Beanie"",""earring"":""None""}}}"
00746,Score Line,None,Orange,Drug Rug No2,Grin,Crazy Yellow,Flame,Silver Chain Necklace,Blue Afro,Snowman,858.3,"{""721"":{""ergoat-00746"":{""index"":00746,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Drug Rug No2"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""Flame"",""accessory"":""Silver Chain Necklace"",""head"":""Blue Afro"",""earring"":""Snowman""}}}"
00747,Bloodshot,Blue Parrot,Brown,Black ERGoat Shirt,Tongue Tied,Crazy Blue,Katana,Red Collar,Xmas Lights,None,859,"{""721"":{""ergoat-00747"":{""index"":00747,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Blue Parrot"",""body"":""Brown"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Blue"",""wield"":""Katana"",""accessory"":""Red Collar"",""head"":""Xmas Lights"",""earring"":""None""}}}"
00748,Deep Retro,Shoulder Angel,Pink,Holiday ERGoat Shirt,Grin,Crazy Yellow,Necronomicon,Green Energy,Green Beanie,Off White Tag,698.4,"{""721"":{""ergoat-00748"":{""index"":00748,""generation"":1,""background"":""Deep Retro"",""back_accessory"":""Shoulder Angel"",""body"":""Pink"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""Necronomicon"",""accessory"":""Green Energy"",""head"":""Green Beanie"",""earring"":""Off White Tag""}}}"
00749,Best Friend,None,Pink,Bulls Jersey,Missing Tooth,Calm Purple,Katana,Gold Chain Necklace,War Helmet,Pentagram,833.1,"{""721"":{""ergoat-00749"":{""index"":00749,""generation"":1,""background"":""Best Friend"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Bulls Jersey"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Katana"",""accessory"":""Gold Chain Necklace"",""head"":""War Helmet"",""earring"":""Pentagram""}}}"
00750,Sunshine,Shoulder Angel,Purple,Black Suit,Sharp,Angry Red,Dragon Ball,3D Glasses No2,Afro Samurai,Silver Hoop,711.5,"{""721"":{""ergoat-00750"":{""index"":00750,""generation"":1,""background"":""Sunshine"",""back_accessory"":""Shoulder Angel"",""body"":""Purple"",""clothes"":""Black Suit"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Dragon Ball"",""accessory"":""3D Glasses No2"",""head"":""Afro Samurai"",""earring"":""Silver Hoop""}}}"
00751,Cheap Red,None,Orange,Lab Coat No2,Snake,Assassin Gray,Red Wine,Gray Collar,Cowboy Hat,Present,873.1,"{""721"":{""ergoat-00751"":{""index"":00751,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Lab Coat No2"",""mouth"":""Snake"",""eyes"":""Assassin Gray"",""wield"":""Red Wine"",""accessory"":""Gray Collar"",""head"":""Cowboy Hat"",""earring"":""Present""}}}"
00752,Sunshine,None,Green,Green Ninja Armor,Tongue Tied,Crazy Blue,White Wine,Red Scouter,Cowboy Hat,None,881.3,"{""721"":{""ergoat-00752"":{""index"":00752,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""Green Ninja Armor"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Blue"",""wield"":""White Wine"",""accessory"":""Red Scouter"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00753,Inverse Day,None,Brown,Goats Jersey,Screaming,Assassin Green,Flame,Red Scouter,Green Beanie,Snowman,795.9,"{""721"":{""ergoat-00753"":{""index"":00753,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Goats Jersey"",""mouth"":""Screaming"",""eyes"":""Assassin Green"",""wield"":""Flame"",""accessory"":""Red Scouter"",""head"":""Green Beanie"",""earring"":""Snowman""}}}"
00754,Hazy Eve,None,Teal,Joker Suit,Grin,Stoned,Katana,3D Glasses No2,Royal Guard Hat,Safety Pin,849.7,"{""721"":{""ergoat-00754"":{""index"":00754,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Joker Suit"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Katana"",""accessory"":""3D Glasses No2"",""head"":""Royal Guard Hat"",""earring"":""Safety Pin""}}}"
00755,Score Line,None,Blue,Black ERGoat Shirt,Grin,Calm Purple,Spiked Bat,Nose Scar,Red Beanie,Present,916.5,"{""721"":{""ergoat-00755"":{""index"":00755,""generation"":1,""background"":""Score Line"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Grin"",""eyes"":""Calm Purple"",""wield"":""Spiked Bat"",""accessory"":""Nose Scar"",""head"":""Red Beanie"",""earring"":""Present""}}}"
00756,Mustard,Red Parrot,Teal,Holiday Suit,Missing Tooth,Calm Purple,Katana,Gold Chain Necklace,Horns,Ergo Chain,843.1,"{""721"":{""ergoat-00756"":{""index"":00756,""generation"":1,""background"":""Mustard"",""back_accessory"":""Red Parrot"",""body"":""Teal"",""clothes"":""Holiday Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Katana"",""accessory"":""Gold Chain Necklace"",""head"":""Horns"",""earring"":""Ergo Chain""}}}"
00757,Mustard,None,Pink,Black Suit,Sharp,Calm Purple,Trident,Red Collar,Green Beanie,Rainbow Disco Ball,912,"{""721"":{""ergoat-00757"":{""index"":00757,""generation"":1,""background"":""Mustard"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Black Suit"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Trident"",""accessory"":""Red Collar"",""head"":""Green Beanie"",""earring"":""Rainbow Disco Ball""}}}"
00758,Cherry Blossom,Red Parrot,Green,Ronin White,Snake,Stoned,Katana,Blue Energy,Ram Horns,None,792.4,"{""721"":{""ergoat-00758"":{""index"":00758,""generation"":1,""background"":""Cherry Blossom"",""back_accessory"":""Red Parrot"",""body"":""Green"",""clothes"":""Ronin White"",""mouth"":""Snake"",""eyes"":""Stoned"",""wield"":""Katana"",""accessory"":""Blue Energy"",""head"":""Ram Horns"",""earring"":""None""}}}"
00759,Dark Pit,None,Brown,Drug Rug No2,Tongue Tied,Assassin Gray,Spiked Bat,Red Energy,Green Neon Horns,Safety Pin,758.3,"{""721"":{""ergoat-00759"":{""index"":00759,""generation"":1,""background"":""Dark Pit"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Drug Rug No2"",""mouth"":""Tongue Tied"",""eyes"":""Assassin Gray"",""wield"":""Spiked Bat"",""accessory"":""Red Energy"",""head"":""Green Neon Horns"",""earring"":""Safety Pin""}}}"
00760,Clover Field,Green Parrot,Teal,Yellow Ninja Armor,Missing Tooth,Crazy Yellow,Christmas Mug,Evil Face Tattoo,Xmas Lights,Snowman,704.2,"{""721"":{""ergoat-00760"":{""index"":00760,""generation"":1,""background"":""Clover Field"",""back_accessory"":""Green Parrot"",""body"":""Teal"",""clothes"":""Yellow Ninja Armor"",""mouth"":""Missing Tooth"",""eyes"":""Crazy Yellow"",""wield"":""Christmas Mug"",""accessory"":""Evil Face Tattoo"",""head"":""Xmas Lights"",""earring"":""Snowman""}}}"
00761,Good Morning,None,Teal,White ERGoat Shirt,Smirk,Shoujo,Spiked Bat,Pentagram,Red Beanie,Safety Pin,718.5,"{""721"":{""ergoat-00761"":{""index"":00761,""generation"":1,""background"":""Good Morning"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Smirk"",""eyes"":""Shoujo"",""wield"":""Spiked Bat"",""accessory"":""Pentagram"",""head"":""Red Beanie"",""earring"":""Safety Pin""}}}"
00762,Red Window,Bow and Arrows,Brown,Purple Hawaiian Shirt,Gritted Teeth,Stoned,Snowball,Green Energy,Ram Horns,None,822,"{""721"":{""ergoat-00762"":{""index"":00762,""generation"":1,""background"":""Red Window"",""back_accessory"":""Bow and Arrows"",""body"":""Brown"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Stoned"",""wield"":""Snowball"",""accessory"":""Green Energy"",""head"":""Ram Horns"",""earring"":""None""}}}"
00763,Peach Line,None,Purple,Lab Coat No1,Screaming,Crazy Blue,Katana,Evil Face Tattoo,Ram Horns,Safety Pin,921.2,"{""721"":{""ergoat-00763"":{""index"":00763,""generation"":1,""background"":""Peach Line"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Lab Coat No1"",""mouth"":""Screaming"",""eyes"":""Crazy Blue"",""wield"":""Katana"",""accessory"":""Evil Face Tattoo"",""head"":""Ram Horns"",""earring"":""Safety Pin""}}}"
00764,Watermelon,Rainbow Demon Wings,Green,Black Suit,Missing Tooth,Crazy Blue,Red Wine,Blue Energy,Dark Cowboy Hat,Snowman,837.3,"{""721"":{""ergoat-00764"":{""index"":00764,""generation"":1,""background"":""Watermelon"",""back_accessory"":""Rainbow Demon Wings"",""body"":""Green"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Crazy Blue"",""wield"":""Red Wine"",""accessory"":""Blue Energy"",""head"":""Dark Cowboy Hat"",""earring"":""Snowman""}}}"
00765,Cloud Light,None,Green,Lab Coat No1,Missing Tooth,Assassin Green,Cigarette,Red Scouter,Dark Horns,Silver Hoop,787.2,"{""721"":{""ergoat-00765"":{""index"":00765,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""Lab Coat No1"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Green"",""wield"":""Cigarette"",""accessory"":""Red Scouter"",""head"":""Dark Horns"",""earring"":""Silver Hoop""}}}"
00766,Cloud Light,None,Blue,Tat Blasted,Grin,Crazy Yellow,Tie Dye Wine,Gray Collar,Super Blue,None,826.4,"{""721"":{""ergoat-00766"":{""index"":00766,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Tat Blasted"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""Tie Dye Wine"",""accessory"":""Gray Collar"",""head"":""Super Blue"",""earring"":""None""}}}"
00767,Copper Battery,None,Yellow,Santa Sweater,Snake,Calm Teal,Tie Dye Wine,Gray Collar,Green Neon Horns,Snow Globe,733.2,"{""721"":{""ergoat-00767"":{""index"":00767,""generation"":1,""background"":""Copper Battery"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Santa Sweater"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""Tie Dye Wine"",""accessory"":""Gray Collar"",""head"":""Green Neon Horns"",""earring"":""Snow Globe""}}}"
00768,Cheap Red,Monkey Tail,Gray,Saiyan Armor,Gold Tooth,Super,Christmas Mug,Gold Metal,Red Beanie,None,704,"{""721"":{""ergoat-00768"":{""index"":00768,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Monkey Tail"",""body"":""Gray"",""clothes"":""Saiyan Armor"",""mouth"":""Gold Tooth"",""eyes"":""Super"",""wield"":""Christmas Mug"",""accessory"":""Gold Metal"",""head"":""Red Beanie"",""earring"":""None""}}}"
00769,Clover Field,None,Orange,Joker Suit,Smirk,Assassin Green,Trident,Red Collar,Ronin Hat,Sapphire Stud,848.7,"{""721"":{""ergoat-00769"":{""index"":00769,""generation"":1,""background"":""Clover Field"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Joker Suit"",""mouth"":""Smirk"",""eyes"":""Assassin Green"",""wield"":""Trident"",""accessory"":""Red Collar"",""head"":""Ronin Hat"",""earring"":""Sapphire Stud""}}}"
00770,Bloodshot,Blue Katana,Green,Ronin Black,Gritted Teeth,Calm Teal,Dragon Ball,3D Glasses No1,Pink Neon Horns,None,819.8,"{""721"":{""ergoat-00770"":{""index"":00770,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Blue Katana"",""body"":""Green"",""clothes"":""Ronin Black"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Teal"",""wield"":""Dragon Ball"",""accessory"":""3D Glasses No1"",""head"":""Pink Neon Horns"",""earring"":""None""}}}"
00771,Pinot Noir Film,Red Katana,Brown,Ripped Suit,Grin,Stoned,Tie Dye Wine,Gray Collar,Red Beanie,Ergo Chain,830,"{""721"":{""ergoat-00771"":{""index"":00771,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Red Katana"",""body"":""Brown"",""clothes"":""Ripped Suit"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Tie Dye Wine"",""accessory"":""Gray Collar"",""head"":""Red Beanie"",""earring"":""Ergo Chain""}}}"
00772,Sacre Bleu,Rainbow Angel Wings,Orange,Joker Suit,Flopped,Assassin Green,Wolverine,Blue Energy,Cowboy Hat,None,862,"{""721"":{""ergoat-00772"":{""index"":00772,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Orange"",""clothes"":""Joker Suit"",""mouth"":""Flopped"",""eyes"":""Assassin Green"",""wield"":""Wolverine"",""accessory"":""Blue Energy"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00773,Deep Retro,Buster Sword,Pink,Ronin Black,Missing Tooth,Calm Purple,White Wine,Gold Metal,Blue Flame,Spikes,685.9,"{""721"":{""ergoat-00773"":{""index"":00773,""generation"":1,""background"":""Deep Retro"",""back_accessory"":""Buster Sword"",""body"":""Pink"",""clothes"":""Ronin Black"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""White Wine"",""accessory"":""Gold Metal"",""head"":""Blue Flame"",""earring"":""Spikes""}}}"
00774,Airline Scarf,Red Parrot,Orange,Holiday ERGoat Shirt,Gold Tooth,Angry Red,Coconut,Nose Scar,War Helmet,Off White Tag,710.1,"{""721"":{""ergoat-00774"":{""index"":00774,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""Red Parrot"",""body"":""Orange"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Angry Red"",""wield"":""Coconut"",""accessory"":""Nose Scar"",""head"":""War Helmet"",""earring"":""Off White Tag""}}}"
00775,Monochrome,Blue Parrot,Red,Lab Coat No2,Snake,Calm Purple,Red Wine,Blue Energy,Orange Afro,Diamond Stud,773.6,"{""721"":{""ergoat-00775"":{""index"":00775,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Blue Parrot"",""body"":""Red"",""clothes"":""Lab Coat No2"",""mouth"":""Snake"",""eyes"":""Calm Purple"",""wield"":""Red Wine"",""accessory"":""Blue Energy"",""head"":""Orange Afro"",""earring"":""Diamond Stud""}}}"
00776,Watermelon,None,Gray,Joker Suit,Tongue Tied,Calm Purple,Flame,Evil Face Tattoo,Headband,Safety Pin,863.7,"{""721"":{""ergoat-00776"":{""index"":00776,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Joker Suit"",""mouth"":""Tongue Tied"",""eyes"":""Calm Purple"",""wield"":""Flame"",""accessory"":""Evil Face Tattoo"",""head"":""Headband"",""earring"":""Safety Pin""}}}"
00777,Water Hole,None,Brown,Goats Jersey,Gold Tooth,Assassin Green,Dragon Ball,Red Scouter,Dark Cowboy Hat,Pentagram,737.9,"{""721"":{""ergoat-00777"":{""index"":00777,""generation"":1,""background"":""Water Hole"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Goats Jersey"",""mouth"":""Gold Tooth"",""eyes"":""Assassin Green"",""wield"":""Dragon Ball"",""accessory"":""Red Scouter"",""head"":""Dark Cowboy Hat"",""earring"":""Pentagram""}}}"
00778,Skinny Dip,None,Blue,Orange Hawaiian Shirt,Gritted Teeth,Crazy Yellow,Spirit Gun,Green Energy,Dark Santa Hat,Hanafudu No2,786.1,"{""721"":{""ergoat-00778"":{""index"":00778,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Yellow"",""wield"":""Spirit Gun"",""accessory"":""Green Energy"",""head"":""Dark Santa Hat"",""earring"":""Hanafudu No2""}}}"
00779,Inverse Day,Devil Tail,Blue,Goku Gi,Screaming,Shoujo,Snowball,Mustache,Ram Horns,Ergo Chain,624.1,"{""721"":{""ergoat-00779"":{""index"":00779,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""Devil Tail"",""body"":""Blue"",""clothes"":""Goku Gi"",""mouth"":""Screaming"",""eyes"":""Shoujo"",""wield"":""Snowball"",""accessory"":""Mustache"",""head"":""Ram Horns"",""earring"":""Ergo Chain""}}}"
00780,Cherry Blossom,Battle Axe,Orange,Orange Hawaiian Shirt,Grin,Crazy Blue,Katana,Green Energy,Rambo,Silver Hoop,699.7,"{""721"":{""ergoat-00780"":{""index"":00780,""generation"":1,""background"":""Cherry Blossom"",""back_accessory"":""Battle Axe"",""body"":""Orange"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Grin"",""eyes"":""Crazy Blue"",""wield"":""Katana"",""accessory"":""Green Energy"",""head"":""Rambo"",""earring"":""Silver Hoop""}}}"
00781,Clover Field,None,Blue,Joker Suit,Smirk,Crazy Blue,Cigarette,Face Cuts,Purple Beanie,Pentagram,907.7,"{""721"":{""ergoat-00781"":{""index"":00781,""generation"":1,""background"":""Clover Field"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Joker Suit"",""mouth"":""Smirk"",""eyes"":""Crazy Blue"",""wield"":""Cigarette"",""accessory"":""Face Cuts"",""head"":""Purple Beanie"",""earring"":""Pentagram""}}}"
00782,Airport Night,None,Purple,Negan Jacket,Missing Tooth,Calm Teal,Katana,Evil Face Tattoo,Dark Horns,None,873.8,"{""721"":{""ergoat-00782"":{""index"":00782,""generation"":1,""background"":""Airport Night"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Negan Jacket"",""mouth"":""Missing Tooth"",""eyes"":""Calm Teal"",""wield"":""Katana"",""accessory"":""Evil Face Tattoo"",""head"":""Dark Horns"",""earring"":""None""}}}"
00783,Mustard,None,Pink,Black ERGoat Shirt,Screaming,Angry Purple,Coconut,Silver Medal,Green Beanie,Ergo Chain,892.5,"{""721"":{""ergoat-00783"":{""index"":00783,""generation"":1,""background"":""Mustard"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Screaming"",""eyes"":""Angry Purple"",""wield"":""Coconut"",""accessory"":""Silver Medal"",""head"":""Green Beanie"",""earring"":""Ergo Chain""}}}"
00784,Opening Scene,Red Katana,Gray,Tat Blasted,Smirk,Angry Red,Spirit Gun,Face Cuts,Flame,Rainbow Disco Ball,669.6,"{""721"":{""ergoat-00784"":{""index"":00784,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""Red Katana"",""body"":""Gray"",""clothes"":""Tat Blasted"",""mouth"":""Smirk"",""eyes"":""Angry Red"",""wield"":""Spirit Gun"",""accessory"":""Face Cuts"",""head"":""Flame"",""earring"":""Rainbow Disco Ball""}}}"
00785,Yellow Light,None,Gray,Tat Blasted,Gold Tooth,Crazy Yellow,Cigarette,Blue Energy,Dark Ronin Hat,None,828.4,"{""721"":{""ergoat-00785"":{""index"":00785,""generation"":1,""background"":""Yellow Light"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Tat Blasted"",""mouth"":""Gold Tooth"",""eyes"":""Crazy Yellow"",""wield"":""Cigarette"",""accessory"":""Blue Energy"",""head"":""Dark Ronin Hat"",""earring"":""None""}}}"
00786,Sacre Bleu,Green Parrot,Green,White Suit,Tongue Tied,Angry Red,Spirit Gun,Mustache,Dark Ronin Hat,None,809.2,"{""721"":{""ergoat-00786"":{""index"":00786,""generation"":1,""background"":""Sacre Bleu"",""back_accessory"":""Green Parrot"",""body"":""Green"",""clothes"":""White Suit"",""mouth"":""Tongue Tied"",""eyes"":""Angry Red"",""wield"":""Spirit Gun"",""accessory"":""Mustache"",""head"":""Dark Ronin Hat"",""earring"":""None""}}}"
00787,Monochrome,Angel Wings,Gray,Baphomet,Grin,Ergo,Flame,Silver Chain Necklace,Headband,None,827.8,"{""721"":{""ergoat-00787"":{""index"":00787,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Angel Wings"",""body"":""Gray"",""clothes"":""Baphomet"",""mouth"":""Grin"",""eyes"":""Ergo"",""wield"":""Flame"",""accessory"":""Silver Chain Necklace"",""head"":""Headband"",""earring"":""None""}}}"
00788,Watermelon Stripe,Angel Wings,Yellow,Green Ninja Armor,Sharp,Angry Red,Coconut,Mustache,Horns,Hanafudu No2,729.5,"{""721"":{""ergoat-00788"":{""index"":00788,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""Angel Wings"",""body"":""Yellow"",""clothes"":""Green Ninja Armor"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Coconut"",""accessory"":""Mustache"",""head"":""Horns"",""earring"":""Hanafudu No2""}}}"
00789,Deep Retro,None,Teal,White ERGoat Shirt,Pierced Tongue,Angry Purple,Wolverine,Red Scouter,Purple Beanie,Safety Pin,781.5,"{""721"":{""ergoat-00789"":{""index"":00789,""generation"":1,""background"":""Deep Retro"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Pierced Tongue"",""eyes"":""Angry Purple"",""wield"":""Wolverine"",""accessory"":""Red Scouter"",""head"":""Purple Beanie"",""earring"":""Safety Pin""}}}"
